Categoria;Qunt.;Item;Imagem;Orçado;Site;Status
Sala;1;Manta sofá;https://http2.mlstatic.com/D_NQ_NP_788114-MLB50422207783_062022-O.webp; 260,00 ;https://produto.mercadolivre.com.br/MLB-2689553417-manta-de-sofa-tricot-diamond-franja-natural-bege-127x152cm-_JM?matt_tool=92309335&matt_word=&matt_source=bing&matt_campaign=MLB_ML_BING_AO_HOME%20%26%20INDUSTRY-ALL-ALL_X_PLA_ALLB_TXS_ALL&matt_campaign_id=382858298&matt_ad_group=HOME%20%26%20INDUSTRY&matt_match_type=e&matt_network=o&matt_device=c&matt_keyword=default&msclkid=f8275c13728e17e06171383f4a974448&utm_source=bing&utm_medium=cpc&utm_campaign=MLB_ML_BING_AO_HOME%20%26%20INDUSTRY-ALL-ALL_X_PLA_ALLB_TXS_ALL&utm_term=4579053617522478&utm_content=HOME%20%26%20INDUSTRY;Disponível
Sala;1;Tapete Sala;https://cdn.awsli.com.br/800x800/1811/1811937/produto/170784273/351f9a94fb.jpg; 450,00 ;https://www.utilemcasa.com/tapete-algodao-cru-lines-200x150-lancamento;Disponível
Banheiro;1;Cesto - Branco;https://www.ou.com.br/arquivos/ids/163033-1000-1000/Cesto-De-Roupas-Grid-Com-Tampa-49-Litros---Branco-Oceano.jpg?v=638006933348870000; 140,00 ;https://www.ou.com.br/cesto-de-roupas-grid-com-tampa-49-litros/p;Disponível
Banheiro;3;Jogo de toalhas (Site ou similar);https://lojafirstclass.vteximg.com.br/arquivos/ids/170091-1000-1000/IMG_7554.jpg?v=638019733090000000; 200,00 ;https://www.firstclass.com.br/jogo-banho-4-pecas-chronos-fio-penteado---7130-7717-atmos/p;Disponível
Banheiro;1;Kit Banheiro - Branco;https://images.tcdn.com.br/img/img_prod/845859/kit_conjunto_para_banheiro_bambu_6_pecas_1901_1_359e2ac189baa894d88f185356b98937.jpg; 200,00 ;https://www.lojaplasvale.com.br/banheiro/kit-conjunto-para-banheiro-bambu-6-pecas?parceiro=7869&gclid=Cj0KCQjwla-hBhD7ARIsAM9tQKsUTM8dqDKq1ZYGwH1oL612-41K2GrXuI27bZeGI7Dh65ESfMn67-IaAkIYEALw_wcB&variant_id=3301;Disponível
Banheiro;1;Kit Banheiro - Branco;https://global.cdn.magazord.com.br/maluvalehomedecor/img/2022/07/produto/1249/kit-jogo-de-banheiro-amigold.png?ims=600x600; 90,00 ;https://www.maluvalehomedecor.com.br/conjunto-para-banheiro-com-03-pecas-de-porcelana-amigold-?utm_source=google&utm_medium=Shopping&utm_campaign=conjunto-para-banheiro-com-03-pecas-de-porcelana-amigold-&inStock=&srsltid=AfAwrE7vR3NH3BcPe2piqvMukyJZfCD-JB1TG7gXIZpbGaakFUD5OBd0_14;Disponível
Banheiro;1;Porta sabonete líquido;https://50180.cdn.simplo7.net/static/50180/sku/banheiro-porta-sabonete-liquido-de-porcelana-branco-e-preto--p-1596127186861.jpg; 80,00 ;https://www.vimercati.com.br/banheiro/porta-sabonete-liquido-de-porcelana-branco-e-preto--p;Disponível
Banheiro;1;Toalha de chão banheiro;https://7539028l.ha.azioncdn.net/img/2022/10/produto/4351/tapete-paris-antiderrapante-kit-felpudo-10unid-toalha-show-1.jpg?ims=800x800; 160,00 ;https://www.toalhashow.com.br/kit-10-tapete-para-banheiro-antiderrapante-grosso-paris-45x70cm-cinza?utm_source=google&utm_medium=Shopping&utm_campaign=kit-10-tapete-para-banheiro-antiderrapante-grosso-paris-45x70cm-cinza&inStock&utm_source=google&utm_medium=cpc&utm_campaign=google_pmax_kits_de_piso_atoalhado&gclid=Cj0KCQjwla-hBhD7ARIsAM9tQKtKbnksuz1H5SDQniilxZhVxHL6ZwM9UKu9utKdfcIkSDmcpbkKGhMaAhujEALw_wcB;Disponível
Suíte;1;Jogo de cama Queen;https://static.riachuelo.com.br/RCHLO/14934795001/portrait/4b4ba6a20117895362f555571d9420c340d5869a.jpg; 140,00 ;https://www.riachuelo.com.br/jogo-de-cama-queen-3-pecas-enzo-branco-casa-riachuelo-14934795001_sku;Disponível
Suíte;1;Jogo de cama Queen;https://images.tcdn.com.br/img/img_prod/875745/jogo_de_cama_lencol_casal_queen_com_04_pecas_estampado_algodao_160_fios_grid_1339_1_9bfe6c4d529b01c88c8b92c28fa425f5.jpg; 130,00 ;https://www.rviottoenxovais.com.br/jogo-de-cama-lencol/casal-queen/jogo-de-cama-lencol-casal-queen-com-04-pecas-estampado-algodao-160-fios-grid?parceiro=6668&gclid=Cj0KCQjw2cWgBhDYARIsALggUhoFPlnJh4i8QqehKbYTni_f7ngjzNwg5Ow2Q_-0d7xbkj0H_diAqyEaAucEEALw_wcB;Disponível
